date,Total Revenue,Net Income,Total Assets,Total Liabilities,Stockholders Equity
2023-09-30,56517000000.0,22291000000.0,23682000000,6990000000,220714000000.0
2023-03-31,155726000000.0,52280000000.0,19165000000,10411000000,194683000000.0
2022-12-31,102869000000.0,33981000000.0,19502000000,12802000000,7097000000.0
2022-09-30,50122000000.0,17556000000.0,18003000000,12058000000,6839000000.0
2022-03-31,146405000000.0,55998000000.0,13320000000,11865000000,6907000000.0
2021-12-31,97045000000.0,39270000000.0,12280000000,11684000000,6994000000.0
2021-09-30,45317000000.0,20505000000.0,12951000000,10816000000,6393000000.0
2021-03-31,121936000000.0,44813000000.0,11640000000,10450000000,5395000000.0
2020-12-31,80230000000.0,29356000000.0,12769000000,10527000000,3794000000.0
2020-09-30,37154000000.0,13893000000.0,13544000000,9476000000,3103000000.0
2020-03-31,104982000000.0,33079000000.0,8536000000,9151000000,2660000000.0
2019-12-31,69961000000.0,22327000000.0,7473000000,9131000000,2755000000.0
2019-09-30,33055000000.0,10678000000.0,7551000000,8507000000,2684000000.0
2019-03-31,92126000000.0,26053000000.0,159887000000,53861000000,2403000000.0
2018-12-31,61555000000.0,17244000000.0,156874000000,50318000000,2274000000.0
2018-09-30,29084000000.0,8824000000.0,164195000000,56277000000,2034000000.0
2018-03-31,32937000000.0,7698000000.0,156659000000,46133000000,2818000000.0
2017-12-31,21232000000.0,274000000.0,167633000000,58099000000,3961000000.0
2017-09-30,10240000000.0,6576000000.0,161031000000,51615000000,5343000000.0
2017-03-31,23212000000.0,14691000000.0,146313000000,52005000000,7381000000.0
2016-12-31,14513000000.0,9890000000.0,144949000000,70787000000,8912000000.0
2016-09-30,20453000000.0,4690000000.0,157909000000,14340000000,212524000000.0
2016-03-31,64706000000.0,13676000000.0,128421000000,44354000000,74806000000.0
2015-12-31,44175000000.0,9618000000.0,127812000000,42643000000,76780000000.0
2015-09-30,20379000000.0,4620000000.0,121656000000,49399000000,77445000000.0
2015-03-31,71400000000.0,15388000000.0,1688000000,6846000000,90132000000.0
2014-12-31,49671000000.0,10403000000.0,1701000000,6623000000,91879000000.0
2014-09-30,23201000000.0,4540000000.0,1784000000,7130000000,90170000000.0
2014-03-31,63451000000.0,17462000000.0,2898000000,33903000000,87424000000.0
2013-12-31,43048000000.0,11802000000.0,2874000000,33742000000,85100000000.0
2013-09-30,18529000000.0,5244000000.0,2480000000,34623000000,81641000000.0
2013-03-31,57953000000.0,16898000000.0,3241000000,3913000000,76688000000.0
2012-12-31,37464000000.0,10843000000.0,3301000000,3366000000,72576000000.0
2012-09-30,16008000000.0,4466000000.0,3860000000,3312000000,68836000000.0
2012-03-31,55664000000.0,17470000000.0,2608000000,3011000000,68659000000.0
2011-09-30,3777000000.0,5738000000.0,1972000000,25543000000,8576000000.0
2011-03-31,11869000000.0,17276000000.0,1353000000,24042000000,10748000000.0
2010-12-31,7972000000.0,12044000000.0,92306000000,826000000,92306000000.0
2010-09-30,3139000000.0,5410000000.0,91540000000,540000000,91540000000.0
2010-03-31,9225000000.0,14242000000.0,84910000000,828000000,84910000000.0
